InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541497,21677,HEARTS  STICKERS,2,18-01-11 15:19,0.79,,United Kingdom
573347,21803,CHRISTMAS TREE STAR DECORATION,1,30-10-11 12:26,0.42,13137,United Kingdom
576236,22505,MEMO BOARD COTTAGE DESIGN,1,14-11-11 13:31,4.95,13755,United Kingdom
541839,22435,SET OF 9 HEART SHAPED BALLOONS,1,23-01-11 11:15,1.25,17769,United Kingdom
579675,84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,12,30-11-11 13:08,2.55,15654,United Kingdom
578541,21931,JUMBO STORAGE BAG SUKI,3,24-11-11 15:01,2.08,14277,France
570287,22568,FELTCRAFT CUSHION OWL,4,10-10-11 11:37,3.75,17425,United Kingdom
549047,21987,PACK OF 6 SKULL PAPER CUPS,6,06-04-11 10:07,0.65,17783,United Kingdom
546862,21260,FIRST AID TIN,6,17-03-11 15:34,3.25,16216,United Kingdom
545217,22358,KINGS CHOICE TEA CADDY,1,28-02-11 16:59,5.79,,United Kingdom
550496,85094,CANDY SPOT EGG WARMER RABBIT,2,18-04-11 15:05,0.83,,United Kingdom
564755,84907,PINK YELLOW PATCH CUSHION COVER,2,30-08-11 10:31,5.79,,United Kingdom
565322,21058,PARTY INVITES WOODLAND,12,02-09-11 13:15,0.85,12437,France
539744,20711,JUMBO BAG TOYS,2,21-12-10 15:21,4.21,,United Kingdom
580983,22616,PACK OF 12 LONDON TISSUES,1,06-12-11 16:26,0.83,,United Kingdom
567910,22090,PAPER BUNTING RETROSPOT,12,22-09-11 16:58,2.95,12437,France
546435,21908,CHOCOLATE THIS WAY METAL SIGN,12,14-03-11 9:37,2.1,15671,United Kingdom
558260,16259,PIECE OF CAMO STATIONERY SET,108,28-06-11 8:38,0.08,16945,United Kingdom
543989,22654,DELUXE SEWING KIT,80,15-02-11 9:52,4.95,12415,Australia
575713,22331,WOODLAND PARTY BAG + STICKER SET,8,10-11-11 17:49,1.65,13817,Germany
537618,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,120,07-12-10 13:50,1.88,15061,United Kingdom
545872,21448,12 DAISY PEGS IN WOOD BOX,2,07-03-11 14:51,1.65,15752,United Kingdom
555513,84078A,SET/4 WHITE RETRO STORAGE CUBES,18,05-06-11 10:38,34.95,12980,United Kingdom
579946,23300,GARDENERS KNEELING PAD CUP OF TEA,4,01-12-11 10:44,1.65,15993,United Kingdom
574936,22759,SET OF 3 NOTEBOOKS IN PARCEL,4,07-11-11 17:06,1.65,13066,United Kingdom
565432,23298,SPOTTY BUNTING,2,04-09-11 13:16,4.95,16241,United Kingdom
543995,22894,TABLECLOTH RED APPLES DESIGN,12,15-02-11 10:45,9.95,13408,United Kingdom
557214,22467,GUMBALL COAT RACK,6,17-06-11 12:20,2.55,17677,United Kingdom
578086,21094,SET/6 RED SPOTTY PAPER PLATES,36,22-11-11 16:43,0.85,17519,United Kingdom
541602,21754,HOME BUILDING BLOCK WORD,2,19-01-11 17:17,5.95,17231,United Kingdom
577536,23311,VINTAGE CHRISTMAS STOCKING,1,20-11-11 14:14,2.55,15850,United Kingdom
552764,21889,WOODEN BOX OF DOMINOES,12,11-05-11 11:34,1.25,17489,United Kingdom
573993,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,02-11-11 11:23,5.95,16790,United Kingdom
566076,22625,RED KITCHEN SCALES,4,09-09-11 9:13,8.5,12449,Belgium
537624,22068,BLACK PIRATE TREASURE CHEST,1,07-12-10 14:41,1.65,12748,United Kingdom
541104,22223,CAKE PLATE LOVEBIRD PINK,1,13-01-11 14:29,4.13,,United Kingdom
578339,23267,SET OF 4 SANTA PLACE SETTINGS,12,24-11-11 9:07,1.25,12421,Spain
547490,21114,LAVENDER SCENTED FABRIC HEART,10,23-03-11 11:48,1.25,17507,United Kingdom
570857,22982,PANTRY PASTRY BRUSH,1,12-10-11 15:06,1.25,15555,United Kingdom
559547,20712,JUMBO BAG WOODLAND ANIMALS,2,10-07-11 15:12,2.08,17758,United Kingdom
580678,23322,LARGE WHITE HEART OF WICKER,2,05-12-11 14:49,2.95,18015,United Kingdom
536862,21181,PLEASE ONE PERSON METAL SIGN,5,03-12-10 11:13,4.21,,United Kingdom
542506,48187,DOORMAT NEW ENGLAND,4,28-01-11 12:06,7.95,16523,United Kingdom
538008,22907,PACK OF 20 NAPKINS PANTRY DESIGN,24,09-12-10 12:17,0.85,12683,France
568719,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2,28-09-11 16:19,1.63,,United Kingdom
576837,23295,SET OF 12 MINI LOAF BAKING CASES,1,16-11-11 15:16,2.46,,United Kingdom
C539983,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-6,23-12-10 14:49,4.95,15856,United Kingdom
564056,22467,GUMBALL COAT RACK,3,22-08-11 14:13,2.55,14387,United Kingdom
566240,21080,SET/20 RED RETROSPOT PAPER NAPKINS,1,11-09-11 11:29,0.85,14508,United Kingdom
552723,23298,SPOTTY BUNTING,12,11-05-11 10:18,4.95,16229,United Kingdom
540552,21361,LOVE LARGE WOOD LETTERS,1,10-01-11 9:44,12.75,16350,United Kingdom
571296,22041,"RECORD FRAME 7"" SINGLE SIZE",1,16-10-11 16:13,2.55,13760,United Kingdom
579751,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,1,30-11-11 14:46,4.13,,United Kingdom
566601,21000,ROSE DU SUD COSMETICS BAG,1,13-09-11 15:57,4.25,16469,United Kingdom
559167,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,06-07-11 16:54,2.08,17997,United Kingdom
550968,22055,MINI CAKE STAND  HANGING STRAWBERY,8,21-04-11 16:59,1.65,14961,United Kingdom
546829,22499,WOODEN UNION JACK BUNTING,3,17-03-11 12:00,5.95,14840,United Kingdom
565751,22630,DOLLY GIRL LUNCH BOX,2,06-09-11 12:56,1.95,16393,United Kingdom
541430,22055,MINI CAKE STAND  HANGING STRAWBERY,32,18-01-11 9:50,1.45,12356,Portugal
577358,21328,BALLOONS  WRITING SET,1,18-11-11 15:59,3.29,,United Kingdom
575087,48129,DOORMAT TOPIARY,1,08-11-11 13:57,8.25,16549,United Kingdom
559538,22971,QUEENS GUARD COFFEE MUG,2,10-07-11 12:25,2.55,16880,United Kingdom
555845,84970S,HANGING HEART ZINC T-LIGHT HOLDER,2,07-06-11 13:19,0.85,17015,United Kingdom
C570828,90202D,PINK ENAMEL FLOWER HAIR TIE,-6,12-10-11 13:15,2.95,14911,EIRE
542353,22904,CALENDAR PAPER CUT DESIGN,6,27-01-11 12:19,2.95,16700,United Kingdom
575918,23235,STORAGE TIN VINTAGE LEAF,2,11-11-11 16:58,2.89,17191,United Kingdom
550837,22662,LUNCH BAG DOLLY GIRL DESIGN,10,21-04-11 11:03,1.65,15034,United Kingdom
575508,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,36,10-11-11 10:32,3.39,14646,Netherlands
556482,20677,PINK POLKADOT BOWL,16,12-06-11 13:04,1.25,17242,United Kingdom
541285,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,17-01-11 12:45,2.95,13001,United Kingdom
557645,22630,DOLLY GIRL LUNCH BOX,2,21-06-11 17:08,4.13,,United Kingdom
578781,22094,RED RETROSPOT TISSUE BOX,1,25-11-11 11:54,0.39,15872,United Kingdom
550326,16011,ANIMAL STICKERS,25,17-04-11 13:05,0.21,14532,United Kingdom
542192,20973,12 PENCIL SMALL TUBE WOODLAND,6,26-01-11 11:27,0.65,14049,United Kingdom
545928,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,6,08-03-11 11:59,2.95,14407,United Kingdom
544790,20726,LUNCH BAG WOODLAND,6,23-02-11 12:27,1.65,16940,United Kingdom
