CohortMonth,MonthsSinceAcquisition,RetentionPct
2010-12,0,100.0
2010-12,1,23.110151187904968
2010-12,2,23.110151187904968
2010-12,3,24.19006479481641
2010-12,4,23.75809935205184
2010-12,5,27.213822894168462
2010-12,6,24.622030237580997
2010-12,7,23.97408207343413
2010-12,8,25.48596112311015
2010-12,9,26.5658747300216
2010-12,10,28.50971922246221
2010-12,11,38.44492440604751
2010-12,12,16.414686825053995
2011-01,0,100.0
2011-01,1,15.95744680851064
2011-01,2,25.177304964539005
2011-01,3,17.73049645390071
2011-01,4,23.04964539007092
2011-01,5,21.98581560283688
2011-01,6,20.212765957446805
2011-01,7,19.8581560283688
2011-01,8,22.34042553191489
2011-01,9,28.01418439716312
2011-01,10,31.20567375886525
2011-01,11,9.929078014184398
2011-02,0,100.0
2011-02,1,13.135593220338984
2011-02,2,12.28813559322034
2011-02,3,21.1864406779661
2011-02,4,17.796610169491526
2011-02,5,15.254237288135592
2011-02,6,18.64406779661017
2011-02,7,18.220338983050848
2011-02,8,17.372881355932204
2011-02,9,22.033898305084744
2011-02,10,3.8135593220338975
2011-03,0,100.0
2011-03,1,10.333333333333334
2011-03,2,17.333333333333336
2011-03,3,17.666666666666668
2011-03,4,20.0
2011-03,5,15.666666666666668
2011-03,6,21.0
2011-03,7,20.0
2011-03,8,20.33333333333333
2011-03,9,8.0
2011-04,0,100.0
2011-04,1,15.5
2011-04,2,14.499999999999998
2011-04,3,13.5
2011-04,4,13.0
2011-04,5,19.0
2011-04,6,18.0
2011-04,7,17.5
2011-04,8,9.0
2011-05,0,100.0
2011-05,1,13.761467889908255
2011-05,2,11.926605504587156
2011-05,3,13.761467889908255
2011-05,4,15.59633027522936
2011-05,5,18.807339449541285
2011-05,6,17.889908256880734
2011-05,7,5.963302752293578
2011-06,0,100.0
2011-06,1,11.702127659574469
2011-06,2,13.829787234042554
2011-06,3,17.02127659574468
2011-06,4,19.148936170212767
2011-06,5,24.46808510638298
2011-06,6,6.914893617021277
2011-07,0,100.0
2011-07,1,7.643312101910828
2011-07,2,12.738853503184714
2011-07,3,16.560509554140125
2011-07,4,15.286624203821656
2011-07,5,7.006369426751593
2011-08,0,100.0
2011-08,1,13.114754098360656
2011-08,2,15.57377049180328
2011-08,3,19.672131147540984
2011-08,4,8.19672131147541
2011-09,0,100.0
2011-09,1,15.503875968992247
2011-09,2,22.093023255813957
2011-09,3,8.914728682170542
2011-10,0,100.0
2011-10,1,18.947368421052637
2011-10,2,7.719298245614035
2011-11,0,100.0
2011-11,1,4.545454545454546
2011-12,0,100.0
