InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,InvoiceMonth,CohortMonth,CohortIndex
573347,21803,CHRISTMAS TREE STAR DECORATION,1,2011-10-30 12:26:00,0.42,13137,United Kingdom,0.42,2011-10,2011-02,8
576236,22505,MEMO BOARD COTTAGE DESIGN,1,2011-11-14 13:31:00,4.95,13755,United Kingdom,4.95,2011-11,2011-10,1
541839,22435,SET OF 9 HEART SHAPED BALLOONS,1,2011-01-23 11:15:00,1.25,17769,United Kingdom,1.25,2011-01,2011-01,0
579675,84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,12,2011-11-30 13:08:00,2.55,15654,United Kingdom,30.6,2011-11,2011-11,0
578541,21931,JUMBO STORAGE BAG SUKI,3,2011-11-24 15:01:00,2.08,14277,France,6.24,2011-11,2011-05,6
570287,22568,FELTCRAFT CUSHION OWL,4,2011-10-10 11:37:00,3.75,17425,United Kingdom,15.0,2011-10,2011-10,0
549047,21987,PACK OF 6 SKULL PAPER CUPS,6,2011-04-06 10:07:00,0.65,17783,United Kingdom,3.9,2011-04,2011-04,0
546862,21260,FIRST AID TIN,6,2011-03-17 15:34:00,3.25,16216,United Kingdom,19.5,2011-03,2011-03,0
565322,21058,PARTY INVITES WOODLAND,12,2011-09-02 13:15:00,0.85,12437,France,10.2,2011-09,2011-05,4
567910,22090,PAPER BUNTING RETROSPOT,12,2011-09-22 16:58:00,2.95,12437,France,35.4,2011-09,2011-05,4
546435,21908,CHOCOLATE THIS WAY METAL SIGN,12,2011-03-14 09:37:00,2.1,15671,United Kingdom,25.2,2011-03,2011-03,0
558260,16259,PIECE OF CAMO STATIONERY SET,108,2011-06-28 08:38:00,0.08,16945,United Kingdom,8.64,2011-06,2011-02,4
543989,22654,DELUXE SEWING KIT,80,2011-02-15 09:52:00,4.95,12415,Australia,396.0,2011-02,2011-01,1
575713,22331,WOODLAND PARTY BAG + STICKER SET,8,2011-11-10 17:49:00,1.65,13817,Germany,13.2,2011-11,2011-11,0
537618,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,120,2010-12-07 13:50:00,1.88,15061,United Kingdom,225.6,2010-12,2010-12,0
545872,21448,12 DAISY PEGS IN WOOD BOX,2,2011-03-07 14:51:00,1.65,15752,United Kingdom,3.3,2011-03,2011-03,0
555513,84078A,SET/4 WHITE RETRO STORAGE CUBES,18,2011-06-05 10:38:00,34.95,12980,United Kingdom,629.1,2011-06,2011-02,4
579946,23300,GARDENERS KNEELING PAD CUP OF TEA,4,2011-12-01 10:44:00,1.65,15993,United Kingdom,6.6,2011-12,2011-10,2
574936,22759,SET OF 3 NOTEBOOKS IN PARCEL,4,2011-11-07 17:06:00,1.65,13066,United Kingdom,6.6,2011-11,2011-11,0
565432,23298,SPOTTY BUNTING,2,2011-09-04 13:16:00,4.95,16241,United Kingdom,9.9,2011-09,2011-01,8
543995,22894,TABLECLOTH RED APPLES DESIGN,12,2011-02-15 10:45:00,9.95,13408,United Kingdom,119.4,2011-02,2010-12,2
557214,22467,GUMBALL COAT RACK,6,2011-06-17 12:20:00,2.55,17677,United Kingdom,15.3,2011-06,2010-12,6
578086,21094,SET/6 RED SPOTTY PAPER PLATES,36,2011-11-22 16:43:00,0.85,17519,United Kingdom,30.6,2011-11,2011-07,4
541602,21754,HOME BUILDING BLOCK WORD,2,2011-01-19 17:17:00,5.95,17231,United Kingdom,11.9,2011-01,2010-12,1
577536,23311,VINTAGE CHRISTMAS STOCKING,1,2011-11-20 14:14:00,2.55,15850,United Kingdom,2.55,2011-11,2011-06,5
552764,21889,WOODEN BOX OF DOMINOES,12,2011-05-11 11:34:00,1.25,17489,United Kingdom,15.0,2011-05,2011-05,0
573993,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2011-11-02 11:23:00,5.95,16790,United Kingdom,17.85,2011-11,2011-11,0
566076,22625,RED KITCHEN SCALES,4,2011-09-09 09:13:00,8.5,12449,Belgium,34.0,2011-09,2011-08,1
537624,22068,BLACK PIRATE TREASURE CHEST,1,2010-12-07 14:41:00,1.65,12748,United Kingdom,1.65,2010-12,2010-12,0
578339,23267,SET OF 4 SANTA PLACE SETTINGS,12,2011-11-24 09:07:00,1.25,12421,Spain,15.0,2011-11,2011-06,5
547490,21114,LAVENDER SCENTED FABRIC HEART,10,2011-03-23 11:48:00,1.25,17507,United Kingdom,12.5,2011-03,2011-02,1
570857,22982,PANTRY PASTRY BRUSH,1,2011-10-12 15:06:00,1.25,15555,United Kingdom,1.25,2011-10,2010-12,10
559547,20712,JUMBO BAG WOODLAND ANIMALS,2,2011-07-10 15:12:00,2.08,17758,United Kingdom,4.16,2011-07,2011-04,3
580678,23322,LARGE WHITE HEART OF WICKER,2,2011-12-05 14:49:00,2.95,18015,United Kingdom,5.9,2011-12,2011-12,0
542506,48187,DOORMAT NEW ENGLAND,4,2011-01-28 12:06:00,7.95,16523,United Kingdom,31.8,2011-01,2011-01,0
538008,22907,PACK OF 20 NAPKINS PANTRY DESIGN,24,2010-12-09 12:17:00,0.85,12683,France,20.4,2010-12,2010-12,0
564056,22467,GUMBALL COAT RACK,3,2011-08-22 14:13:00,2.55,14387,United Kingdom,7.65,2011-08,2011-08,0
566240,21080,SET/20 RED RETROSPOT PAPER NAPKINS,1,2011-09-11 11:29:00,0.85,14508,United Kingdom,0.85,2011-09,2011-09,0
552723,23298,SPOTTY BUNTING,12,2011-05-11 10:18:00,4.95,16229,United Kingdom,59.4,2011-05,2011-05,0
540552,21361,LOVE LARGE WOOD LETTERS,1,2011-01-10 09:44:00,12.75,16350,United Kingdom,12.75,2011-01,2011-01,0
571296,22041,"RECORD FRAME 7"" SINGLE SIZE""",1,2011-10-16 16:13:00,2.55,13760,United Kingdom,2.55,2011-10,2011-03,7
566601,21000,ROSE DU SUD COSMETICS BAG,1,2011-09-13 15:57:00,4.25,16469,United Kingdom,4.25,2011-09,2011-04,5
559167,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,2011-07-06 16:54:00,2.08,17997,United Kingdom,4.16,2011-07,2011-06,1
550968,22055,MINI CAKE STAND  HANGING STRAWBERY,8,2011-04-21 16:59:00,1.65,14961,United Kingdom,13.2,2011-04,2010-12,4
546829,22499,WOODEN UNION JACK BUNTING,3,2011-03-17 12:00:00,5.95,14840,United Kingdom,17.85,2011-03,2011-03,0
565751,22630,DOLLY GIRL LUNCH BOX,2,2011-09-06 12:56:00,1.95,16393,United Kingdom,3.9,2011-09,2011-02,7
541430,22055,MINI CAKE STAND  HANGING STRAWBERY,32,2011-01-18 09:50:00,1.45,12356,Portugal,46.4,2011-01,2011-01,0
575087,48129,DOORMAT TOPIARY,1,2011-11-08 13:57:00,8.25,16549,United Kingdom,8.25,2011-11,2011-01,10
559538,22971,QUEENS GUARD COFFEE MUG,2,2011-07-10 12:25:00,2.55,16880,United Kingdom,5.1,2011-07,2011-06,1
555845,84970S,HANGING HEART ZINC T-LIGHT HOLDER,2,2011-06-07 13:19:00,0.85,17015,United Kingdom,1.7,2011-06,2011-06,0
542353,22904,CALENDAR PAPER CUT DESIGN,6,2011-01-27 12:19:00,2.95,16700,United Kingdom,17.7,2011-01,2010-12,1
575918,23235,STORAGE TIN VINTAGE LEAF,2,2011-11-11 16:58:00,2.89,17191,United Kingdom,5.78,2011-11,2010-12,11
550837,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2011-04-21 11:03:00,1.65,15034,United Kingdom,16.5,2011-04,2010-12,4
575508,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,36,2011-11-10 10:32:00,3.39,14646,Netherlands,122.04,2011-11,2010-12,11
556482,20677,PINK POLKADOT BOWL,16,2011-06-12 13:04:00,1.25,17242,United Kingdom,20.0,2011-06,2011-06,0
541285,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,2011-01-17 12:45:00,2.95,13001,United Kingdom,17.7,2011-01,2011-01,0
578781,22094,RED RETROSPOT TISSUE BOX,1,2011-11-25 11:54:00,0.39,15872,United Kingdom,0.39,2011-11,2011-11,0
550326,16011,ANIMAL STICKERS,25,2011-04-17 13:05:00,0.21,14532,United Kingdom,5.25,2011-04,2010-12,4
542192,20973,12 PENCIL SMALL TUBE WOODLAND,6,2011-01-26 11:27:00,0.65,14049,United Kingdom,3.9,2011-01,2011-01,0
545928,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,6,2011-03-08 11:59:00,2.95,14407,United Kingdom,17.7,2011-03,2011-03,0
544790,20726,LUNCH BAG WOODLAND,6,2011-02-23 12:27:00,1.65,16940,United Kingdom,9.9,2011-02,2011-02,0
542599,84050,PINK HEART SHAPE EGG FRYING PAN,3,2011-01-30 11:01:00,1.65,17062,United Kingdom,4.95,2011-01,2011-01,0
568329,22595,GINGHAM HEART DECORATION,12,2011-09-26 14:12:00,0.85,15243,United Kingdom,10.2,2011-09,2011-09,0
549568,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-04-10 15:09:00,1.25,15665,United Kingdom,15.0,2011-04,2011-04,0
560368,22419,LIPSTICK PEN RED,2,2011-07-18 12:25:00,0.42,17841,United Kingdom,0.84,2011-07,2010-12,7
537867,22111,SCOTTIE DOG HOT WATER BOTTLE,6,2010-12-08 16:48:00,4.95,16717,United Kingdom,29.7,2010-12,2010-12,0
578040,22948,METAL DECORATION NAUGHTY CHILDREN,4,2011-11-22 14:21:00,0.85,13322,United Kingdom,3.4,2011-11,2011-11,0
574839,23539,WALL ART LOVES' SECRET,1,2011-11-07 11:40:00,5.95,15493,United Kingdom,5.95,2011-11,2011-03,8
575668,23209,LUNCH BAG VINTAGE DOILY,1,2011-11-10 14:59:00,1.65,18283,United Kingdom,1.65,2011-11,2011-01,10
576212,23318,BOX OF 6 MINI VINTAGE CRACKERS,6,2011-11-14 12:45:00,2.49,18082,United Kingdom,14.94,2011-11,2011-11,0
540816,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-01-11 12:55:00,2.95,15518,United Kingdom,17.7,2011-01,2011-01,0
547063,84406B,CREAM CUPID HEARTS COAT HANGER,8,2011-03-20 13:33:00,4.15,14769,United Kingdom,33.2,2011-03,2011-03,0
553919,21927,BLUE/CREAM STRIPE CUSHION COVER,12,2011-05-20 08:41:00,1.25,17416,United Kingdom,15.0,2011-05,2011-03,2
558200,23341,PINK DINER WALL CLOCK,1,2011-06-27 13:00:00,8.5,15976,United Kingdom,8.5,2011-06,2011-05,1
569358,23247,BISCUIT TIN 50'S CHRISTMAS,6,2011-10-03 14:53:00,2.89,18257,United Kingdom,17.34,2011-10,2011-02,8
576876,85176,SEWING SUSAN 21 NEEDLE SET,1,2011-11-16 16:42:00,0.85,16804,United Kingdom,0.85,2011-11,2011-03,8
566291,85014B,RED RETROSPOT UMBRELLA,1,2011-09-11 15:31:00,5.95,12965,United Kingdom,5.95,2011-09,2011-09,0
573906,21931,JUMBO STORAGE BAG SUKI,10,2011-11-01 15:12:00,2.08,16458,United Kingdom,20.8,2011-11,2011-02,9
578824,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,2011-11-25 14:02:00,5.95,17883,United Kingdom,5.95,2011-11,2011-04,7
575086,22187,GREEN CHRISTMAS TREE CARD HOLDER,24,2011-11-08 13:52:00,1.95,16618,United Kingdom,46.8,2011-11,2011-01,10
569007,20726,LUNCH BAG WOODLAND,10,2011-09-29 18:51:00,1.65,17552,United Kingdom,16.5,2011-09,2010-12,9
547514,22555,PLASTERS IN TIN STRONGMAN,12,2011-03-23 14:00:00,1.65,17486,United Kingdom,19.8,2011-03,2011-03,0
552874,21724,PANDA AND BUNNIES STICKER SHEET,12,2011-05-12 09:40:00,0.85,12621,Germany,10.2,2011-05,2010-12,5
562457,23308,SET OF 60 VINTAGE LEAF CAKE CASES,24,2011-08-05 11:00:00,0.55,18079,United Kingdom,13.2,2011-08,2011-04,4
548616,21891,TRADITIONAL WOODEN SKIPPING ROPE,24,2011-04-01 11:48:00,1.25,18263,United Kingdom,30.0,2011-04,2011-04,0
562711,23031,DRAWER KNOB CRACKLE GLAZE PINK,2,2011-08-08 14:53:00,1.65,16788,United Kingdom,3.3,2011-08,2011-03,5
545066,21621,VINTAGE UNION JACK BUNTING,4,2011-02-27 14:44:00,8.5,13610,United Kingdom,34.0,2011-02,2011-02,0
548215,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-03-30 09:19:00,0.29,15674,United Kingdom,13.92,2011-03,2011-03,0
542233,22846,BREAD BIN DINER STYLE RED,8,2011-01-26 13:46:00,14.95,13098,United Kingdom,119.6,2011-01,2011-01,0
553036,22524,CHILDRENS GARDEN GLOVES BLUE,12,2011-05-13 08:09:00,1.25,15129,United Kingdom,15.0,2011-05,2011-05,0
568367,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-09-26 15:51:00,2.95,15755,United Kingdom,17.7,2011-09,2011-04,5
561043,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,2011-07-24 12:20:00,6.75,15708,United Kingdom,27.0,2011-07,2010-12,7
563697,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,2011-08-18 13:44:00,2.08,16813,United Kingdom,4.16,2011-08,2011-05,3
536437,17021,NAMASTE SWAGAT INCENSE,600,2010-12-01 12:12:00,0.24,13694,United Kingdom,144.0,2010-12,2010-12,0
564856,22894,TABLECLOTH RED APPLES DESIGN,10,2011-08-31 09:11:00,9.95,12477,Germany,99.5,2011-08,2011-02,6
579689,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2011-11-30 14:00:00,12.75,14606,United Kingdom,12.75,2011-11,2010-12,11
566345,22613,PACK OF 20 SPACEBOY NAPKINS,6,2011-09-12 12:27:00,0.85,17685,United Kingdom,5.1,2011-09,2011-03,6
551822,21642,ASSORTED TUTTI FRUTTI PEN,48,2011-05-04 12:26:00,0.85,13524,United Kingdom,40.8,2011-05,2011-05,0
578357,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,18,2011-11-24 10:24:00,0.85,17228,United Kingdom,15.3,2011-11,2011-09,2
576690,22469,HEART OF WICKER SMALL,4,2011-11-16 12:19:00,1.65,15900,United Kingdom,6.6,2011-11,2011-11,0
538378,22374,AIRLINE BAG VINTAGE JET SET RED,2,2010-12-12 11:26:00,4.25,14577,United Kingdom,8.5,2010-12,2010-12,0
576851,22153,ANGEL DECORATION STARS ON DRESS,3,2011-11-16 15:41:00,0.42,15967,United Kingdom,1.26,2011-11,2011-01,10
559687,85184C,SET 4 VALENTINE DECOUPAGE HEART BOX,1,2011-07-11 15:28:00,2.95,17966,United Kingdom,2.95,2011-07,2011-07,0
577052,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2011-11-17 14:08:00,4.95,17397,United Kingdom,4.95,2011-11,2011-11,0
571433,22191,IVORY DINER WALL CLOCK,2,2011-10-17 13:19:00,8.5,13015,United Kingdom,17.0,2011-10,2011-04,6
539988,21358,TOAST ITS - HAPPY BIRTHDAY,1,2010-12-23 16:06:00,1.25,18116,United Kingdom,1.25,2010-12,2010-12,0
566076,22549,PICTURE DOMINOES,12,2011-09-09 09:13:00,1.45,12449,Belgium,17.4,2011-09,2011-08,1
543370,22556,PLASTERS IN TIN CIRCUS PARADE,12,2011-02-07 14:51:00,1.65,12359,Cyprus,19.8,2011-02,2011-01,1
572309,22286,DECORATION WOBBLY RABBIT METAL,1,2011-10-23 15:29:00,0.39,14432,United Kingdom,0.39,2011-10,2011-09,1
581146,20973,12 PENCIL SMALL TUBE WOODLAND,8,2011-12-07 13:53:00,0.65,17602,United Kingdom,5.2,2011-12,2011-01,11
