Country,Total_Revenue,Total_Orders,Total_Customers,Average_Order_Value,Purchase_Frequency,Historical_CLTV
EIRE,9160.789999999999,132,3,69.39992424242423,44.0,3053.5966666666664
Netherlands,8058.39,44,5,183.14522727272728,8.8,1611.678
Australia,5887.11,26,8,226.4273076923077,3.25,735.88875
Japan,1792.29,8,3,224.03625,2.6666666666666665,597.43
Sweden,1014.9,9,4,112.76666666666667,2.25,253.725
Finland,1853.76,19,9,97.56631578947368,2.111111111111111,205.97333333333333
Denmark,890.04,9,5,98.89333333333333,1.8,178.008
Singapore,143.5,4,1,35.875,4.0,143.5
Malta,285.33,2,2,142.665,1.0,142.665
France,8040.09,203,65,39.606354679802955,3.123076923076923,123.6936923076923
Cyprus,584.2,10,5,58.42,2.0,116.84
Germany,9010.93,223,80,40.40775784753363,2.7875,112.636625
Norway,1117.34,24,10,46.55583333333333,2.4,111.734
Portugal,1274.6399999999999,26,12,49.02461538461538,2.1666666666666665,106.21999999999998
United Kingdom,273553.6,7314,2735,37.401367240907845,2.6742230347349176,100.01959780621571
Switzerland,1926.6299999999999,35,20,55.046571428571426,1.75,96.33149999999999
Spain,2068.37,53,22,39.025849056603775,2.409090909090909,94.0168181818182
Channel Islands,563.95,13,6,43.38076923076923,2.1666666666666665,93.99166666666666
Austria,518.12,9,6,57.56888888888889,1.5,86.35333333333334
Belgium,1613.52,49,19,32.928979591836736,2.5789473684210527,84.9221052631579
Poland,235.51,9,3,26.167777777777776,3.0,78.50333333333333
Greece,153.0,2,2,76.5,1.0,76.5
RSA,66.75,1,1,66.75,1.0,66.75
Israel,161.46,4,3,40.365,1.3333333333333333,53.82
USA,159.74,3,3,53.24666666666667,1.0,53.24666666666667
Unspecified,190.86,5,4,38.172000000000004,1.25,47.715
Italy,517.3,16,11,32.33125,1.4545454545454546,47.027272727272724
Canada,85.09,3,2,28.363333333333333,1.5,42.545
Iceland,40.8,2,1,20.4,2.0,40.8
Lithuania,39.3,1,1,39.3,1.0,39.3
European Community,30.0,1,1,30.0,1.0,30.0
Brazil,16.5,1,1,16.5,1.0,16.5
United Arab Emirates,32.4,2,2,16.2,1.0,16.2
