Rank,CustomerID,Country,Revenue,Orders,AOV
1,18102,United Kingdom,21198.3,18,1177.68
2,14646,Netherlands,7861.15,34,231.21
3,14911,EIRE,5336.05,108,49.41
4,12415,Australia,5317.72,10,531.77
5,17450,United Kingdom,4808.5199999999995,8,601.06
6,14096,United Kingdom,4232.24,15,282.15
7,12931,United Kingdom,3858.4,6,643.07
8,14156,EIRE,3727.39,23,162.06
9,17511,United Kingdom,3213.1,17,189.01
10,16684,United Kingdom,2831.78,6,471.96
11,14088,United Kingdom,2495.94,7,356.56
12,13694,United Kingdom,2478.2599999999998,16,154.89
13,17949,United Kingdom,2462.4,3,820.8
14,14298,United Kingdom,2195.81,25,87.83
15,13089,United Kingdom,2124.64,42,50.59
16,13098,United Kingdom,2073.48,12,172.79
17,15311,United Kingdom,1966.21,46,42.74
18,15061,United Kingdom,1942.94,12,161.91
19,16029,United Kingdom,1732.7,8,216.59
20,15769,United Kingdom,1569.0,4,392.25
21,12980,United Kingdom,1537.8,3,512.6
22,13798,United Kingdom,1409.6599999999999,11,128.15
23,13408,United Kingdom,1406.76,21,66.99
24,12753,Japan,1337.46,4,334.36
25,12428,Finland,1315.0,6,219.17
26,15838,United Kingdom,1283.7199999999998,7,183.39
27,16209,United Kingdom,1220.4,1,1220.4
28,12901,United Kingdom,1173.21,5,234.64
29,15125,United Kingdom,1145.64,9,127.29
30,17841,United Kingdom,1124.06,97,11.59
31,12748,United Kingdom,1106.1,81,13.66
32,16422,United Kingdom,1048.3799999999999,9,116.49
33,17857,United Kingdom,1038.0,2,519.0
34,16656,United Kingdom,1036.8,4,259.2
35,14680,United Kingdom,1014.4,8,126.8
36,12921,United Kingdom,949.32,20,47.47
37,15159,United Kingdom,910.86,13,70.07
38,16333,United Kingdom,900.0,1,900.0
39,13631,United Kingdom,850.0,1,850.0
40,13941,United Kingdom,828.0,2,414.0
41,15514,United Kingdom,823.05,4,205.76
42,14866,United Kingdom,803.91,3,267.97
43,13081,United Kingdom,802.4,9,89.16
44,15856,United Kingdom,792.76,15,52.85
45,17809,United Kingdom,790.14,3,263.38
46,13767,United Kingdom,779.5,8,97.44
47,17404,Sweden,774.0,4,193.5
48,13324,United Kingdom,731.04,3,243.68
49,17675,United Kingdom,725.06,16,45.32
50,14952,United Kingdom,713.06,6,118.84
51,12477,Germany,699.0600000000001,5,139.81
52,14258,United Kingdom,697.2,3,232.4
53,12678,France,677.16,3,225.72
54,13854,United Kingdom,663.98,6,110.66
55,15513,United Kingdom,663.68,9,73.74
56,17340,United Kingdom,646.15,7,92.31
57,15251,United Kingdom,644.6800000000001,6,107.45
58,16013,United Kingdom,644.0,3,214.67
59,18092,United Kingdom,636.0,5,127.2
60,13777,United Kingdom,629.1,5,125.82
61,12471,Germany,621.8,13,47.83
62,14051,United Kingdom,620.4,7,88.63
63,13001,United Kingdom,614.59,10,61.46
64,14735,United Kingdom,613.34,13,47.18
65,17581,United Kingdom,607.21,14,43.37
66,12435,Denmark,606.0,2,303.0
67,15039,United Kingdom,605.14,28,21.61
68,17416,United Kingdom,602.5,6,100.42
69,13113,United Kingdom,592.72,7,84.67
70,12621,Germany,592.0,13,45.54
71,12433,Norway,587.08,6,97.85
72,14769,United Kingdom,585.62,4,146.4
73,16525,United Kingdom,571.48,6,95.25
74,17389,United Kingdom,569.58,8,71.2
75,17602,United Kingdom,556.62,5,111.32
76,15498,United Kingdom,541.47,12,45.12
77,12681,France,540.84,16,33.8
