InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,InvoiceMonth,CohortMonth,CohortIndex,Region
573347,21803,CHRISTMAS TREE STAR DECORATION,1,30-10-11 12:26,0.42,13137,United Kingdom,0.42,2011-10,2011-02,8,UK
576236,22505,MEMO BOARD COTTAGE DESIGN,1,14-11-11 13:31,4.95,13755,United Kingdom,4.95,2011-11,2011-10,1,UK
541839,22435,SET OF 9 HEART SHAPED BALLOONS,1,23-01-11 11:15,1.25,17769,United Kingdom,1.25,2011-01,2011-01,0,UK
579675,84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,12,30-11-11 13:08,2.55,15654,United Kingdom,30.6,2011-11,2011-11,0,UK
578541,21931,JUMBO STORAGE BAG SUKI,3,24-11-11 15:01,2.08,14277,France,6.24,2011-11,2011-05,6,International
570287,22568,FELTCRAFT CUSHION OWL,4,10-10-11 11:37,3.75,17425,United Kingdom,15,2011-10,2011-10,0,UK
549047,21987,PACK OF 6 SKULL PAPER CUPS,6,06-04-11 10:07,0.65,17783,United Kingdom,3.9,2011-04,2011-04,0,UK
546862,21260,FIRST AID TIN,6,17-03-11 15:34,3.25,16216,United Kingdom,19.5,2011-03,2011-03,0,UK
565322,21058,PARTY INVITES WOODLAND,12,02-09-11 13:15,0.85,12437,France,10.2,2011-09,2011-05,4,International
567910,22090,PAPER BUNTING RETROSPOT,12,22-09-11 16:58,2.95,12437,France,35.4,2011-09,2011-05,4,International
546435,21908,CHOCOLATE THIS WAY METAL SIGN,12,14-03-11 9:37,2.1,15671,United Kingdom,25.2,2011-03,2011-03,0,UK
558260,16259,PIECE OF CAMO STATIONERY SET,108,28-06-11 8:38,0.08,16945,United Kingdom,8.64,2011-06,2011-02,4,UK
543989,22654,DELUXE SEWING KIT,80,15-02-11 9:52,4.95,12415,Australia,396,2011-02,2011-01,1,International
575713,22331,WOODLAND PARTY BAG + STICKER SET,8,10-11-11 17:49,1.65,13817,Germany,13.2,2011-11,2011-11,0,International
537618,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,120,07-12-10 13:50,1.88,15061,United Kingdom,225.6,2010-12,2010-12,0,UK
545872,21448,12 DAISY PEGS IN WOOD BOX,2,07-03-11 14:51,1.65,15752,United Kingdom,3.3,2011-03,2011-03,0,UK
